,Route,Attempted,Succeeded,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solar Radiation AVG
5463,Disappointment Cleaver,1,0,29.70291667,100.0,45.915,278.0541667,37.87370833
60,Disappointment Cleaver,1,1,27.32208333,59.46991667,15.73075,216.3425,183.87170830000002
4982,Fuhrers Finger,1,0,25.24708333,19.20166667,10.208875,150.9358333,16.21041667
2202,Disappointment Cleaver,1,1,40.95583333,50.64916667,7.499333332999999,227.9012083,326.1535417
2161,Disappointment Cleaver,1,1,48.88666667,27.80416667,13.75808333,270.7366667,326.9785417
1605,Disappointment Cleaver,1,0,45.62583333,54.49666667,9.515125,194.9952083,181.97529169999999
3097,Emmons-Winthrop,1,1,51.54416667,20.74295833,9.233416667,23.74916667,357.33275
5101,Ingraham Direct,1,0,32.94708333,31.71416667,2.4748333330000003,228.0891667,56.40916667
4170,Disappointment Cleaver,1,0,53.21166667,30.91625,3.1011666669999998,217.22883330000002,355.6503333
4659,Disappointment Cleaver,1,0,33.09125,83.53666667,6.95925,61.31625,0.212708333
1669,Emmons-Winthrop,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
2171,Disappointment Cleaver,1,0,46.39625,38.65208333,3.945041667,239.8408333,323.31233330000003
3939,Emmons-Winthrop,1,1,32.69458333,70.2725,2.7260000000000004,30.691,362.93758330000003
2382,Emmons-Winthrop,1,0,38.75666667,43.62791667,5.683125,18.71875,301.8440417
3740,Disappointment Cleaver,1,1,33.13291667,74.27791667,29.12291667,112.52875,244.1792917
5312,Gibralter Ledges,1,0,28.02,27.65333333,10.29258333,212.0725417,0.0
4018,Disappointment Cleaver,1,1,39.88916667,12.741125,14.657875,33.32166667,368.0560833
2655,Disappointment Cleaver,1,1,32.21958333,92.41416667,11.55325,226.942625,252.476625
3345,Emmons-Winthrop,1,0,54.57583333,40.18583333,18.14608333,278.59166669999996,245.01154169999998
41,Disappointment Cleaver,1,0,38.33541667,27.02541667,17.11520833,270.8666667,201.85258330000002
1000,Disappointment Cleaver,1,1,43.36666667,22.565875,22.82541667,17.94333333,236.7139583
54,Disappointment Cleaver,1,0,35.105,23.76833333,4.5570833330000005,188.2135833,201.89120830000002
3473,Disappointment Cleaver,1,0,53.75416667,35.88125,13.615125,276.0791667,353.99733330000004
101,Disappointment Cleaver,1,0,36.09958333,60.97875,51.61083333,265.4166667,180.315875
1504,Disappointment Cleaver,1,1,49.99208333,30.82541667,24.7425,271.9333333,276.0485
3329,Disappointment Cleaver,1,0,55.05083333,49.77,8.242,243.3878333,184.279375
2658,Disappointment Cleaver,1,1,32.21958333,92.41416667,11.55325,226.942625,252.476625
2738,Disappointment Cleaver,1,0,40.66333333,69.77416667,21.65779167,273.03333330000004,231.46820830000001
2204,Disappointment Cleaver,1,1,40.95583333,50.64916667,7.499333332999999,227.9012083,326.1535417
753,Disappointment Cleaver,1,0,22.40041667,91.62541667,23.27375,188.12083330000002,233.4845833
4712,Disappointment Cleaver,1,0,31.2,75.00458333,11.31595833,83.57208333,0.129958333
2102,Disappointment Cleaver,1,1,52.78625,19.12333333,14.71504167,243.7625,327.84616669999997
2191,Emmons-Winthrop,1,1,40.95583333,50.64916667,7.499333332999999,227.9012083,326.1535417
2872,Disappointment Cleaver,1,0,45.18541667,55.22875,16.93216667,22.45291667,349.9249583
466,Disappointment Cleaver,1,0,52.30416667,18.9025,12.39225,278.9,234.3315833
4809,Disappointment Cleaver,1,1,31.08541667,45.71958333,1.597666667,267.87125,42.54783333
4583,Disappointment Cleaver,1,0,35.50541667,55.14625,4.602791667,163.7657083,40.73991667
1671,Emmons-Winthrop,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
395,Disappointment Cleaver,1,0,51.76,27.91541667,19.81575,220.86625,238.10541669999998
1702,Disappointment Cleaver,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
3628,Emmons-Winthrop,1,1,33.59208333,49.67583333,19.79295833,273.6166667,297.3104583
671,Disappointment Cleaver,1,0,21.42833333,90.97875,5.825083332999999,173.56916669999998,141.671125
2977,Disappointment Cleaver,1,1,54.94875,28.75125,1.358333333,28.05416667,351.9732917
4968,Fuhrers Finger,1,0,28.24208333,52.79375,6.912000000000001,122.80741670000002,35.50208333
2590,Disappointment Cleaver,1,1,39.01,44.30583333,5.761708333,215.84058330000002,314.619375
340,Disappointment Cleaver,1,1,23.02125,60.216125,11.10675,13.96916667,90.693
4046,Emmons-Winthrop,1,1,39.88916667,12.741125,14.657875,33.32166667,368.0560833
1578,Emmons-Winthrop,1,0,45.62583333,54.49666667,9.515125,194.9952083,181.97529169999999
4609,Disappointment Cleaver,1,1,35.88083333,74.25708333,7.274916667,103.8366667,25.60783333
1001,Disappointment Cleaver,1,0,43.36666667,22.565875,22.82541667,17.94333333,236.7139583
1246,Disappointment Cleaver,1,1,51.18958333,24.26166667,2.924458333,185.8279167,291.3016667
2790,Kautz Glacier,1,1,48.91333333,47.2225,3.00025,33.93708333,344.3869583
1761,Disappointment Cleaver,1,0,37.20791667,71.93125,27.72875,202.2658333,240.0982083
3587,Emmons-Winthrop,1,1,31.41125,80.40458333,13.34379167,242.9666667,240.7595833
2511,Disappointment Cleaver,1,1,49.7325,49.06958333,3.9822916669999997,226.1925,328.9838333
3614,Disappointment Cleaver,1,0,31.41125,80.40458333,13.34379167,242.9666667,240.7595833
1548,Disappointment Cleaver,1,0,51.37583333,46.14041667,6.6737083329999995,171.633375,208.6705
5050,Nisqually Glacier,1,0,30.19708333,33.99591667,31.02083333,280.3833333,0.0
3358,Kautz Glacier,1,1,54.57583333,40.18583333,18.14608333,278.59166669999996,245.01154169999998
2987,Disappointment Cleaver,1,1,54.94875,28.75125,1.358333333,28.05416667,351.9732917
4988,Disappointment Cleaver,1,0,25.24708333,19.20166667,10.208875,150.9358333,16.21041667
3366,Kautz Glacier,1,0,54.57583333,40.18583333,18.14608333,278.59166669999996,245.01154169999998
275,Disappointment Cleaver,1,0,34.73375,52.70166667,6.354375,30.35875,200.940625
1345,Disappointment Cleaver,1,0,46.55333333,30.25375,6.036208332999999,252.915,295.18425
1347,Disappointment Cleaver,1,0,46.55333333,30.25375,6.036208332999999,252.915,295.18425
2720,Disappointment Cleaver,1,1,40.66333333,69.77416667,21.65779167,273.03333330000004,231.46820830000001
1659,Emmons-Winthrop,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
601,Disappointment Cleaver,1,0,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
2475,Disappointment Cleaver,1,0,49.15458333,32.24525,8.580916667,189.9991667,334.19675
628,Disappointment Cleaver,1,0,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
1829,Disappointment Cleaver,1,1,42.45083333,43.5075,4.640541667,20.59791667,308.749
558,Disappointment Cleaver,1,0,28.99416667,74.715,11.76808333,213.9854167,241.9712917
3833,Kautz Glacier,1,1,38.61666667,33.18291667,9.260916667,28.18208333,352.22116669999997
989,Disappointment Cleaver,1,1,43.36666667,22.565875,22.82541667,17.94333333,236.7139583
3149,Disappointment Cleaver,1,1,48.49208333,50.48333333,2.755416667,183.66875,328.7606667
2621,Emmons-Winthrop,1,1,37.98625,47.64541667,2.382125,207.16666669999998,345.6050417
2039,Disappointment Cleaver,1,0,46.85875,49.985,16.14779167,24.4925,196.61991669999998
3715,Disappointment Cleaver,1,1,31.90166667,65.75875,9.339041667,177.5125,329.4286667
1560,Disappointment Cleaver,1,0,51.37583333,46.14041667,6.6737083329999995,171.633375,208.6705
4268,Disappointment Cleaver,1,1,29.01333333,85.95333333,2.220333333,227.6720833,284.8479167
3490,Disappointment Cleaver,1,1,49.23875,37.54708333,5.079166667,143.1625,353.6944583
1473,Disappointment Cleaver,1,0,40.04916667,77.10333333,14.9015,245.56375,170.0025833
5230,Disappointment Cleaver,1,0,33.02833333,26.12733333,12.34270833,16.41208333,10.20933333
5117,Disappointment Cleaver,1,0,32.19458333,18.87916667,8.654291667,214.38133330000002,34.68395833
4734,Disappointment Cleaver,1,0,29.47333333,91.06,6.361583333,79.80166667,21.76520833
3673,Disappointment Cleaver,1,0,35.0875,40.37208333,2.47725,149.27625,358.7460833
2861,Disappointment Cleaver,1,1,45.18541667,55.22875,16.93216667,22.45291667,349.9249583
4244,Kautz Glacier,1,1,38.94666667,50.58708333,5.9370833329999995,153.6,359.3387917
3227,Disappointment Cleaver,1,1,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
3921,Fuhrers Finger,1,0,32.69458333,70.2725,2.7260000000000004,30.691,362.93758330000003
1893,Emmons-Winthrop,1,0,40.76375,30.05708333,4.1517916669999995,30.62458333,315.5002917
4012,Curtis RIngraham Directge,1,1,39.88916667,12.741125,14.657875,33.32166667,368.0560833
2214,Disappointment Cleaver,1,0,40.95583333,50.64916667,7.499333332999999,227.9012083,326.1535417
1564,Kautz Glacier,1,0,51.37583333,46.14041667,6.6737083329999995,171.633375,208.6705
3475,Disappointment Cleaver,1,0,53.75416667,35.88125,13.615125,276.0791667,353.99733330000004
1990,Emmons-Winthrop,1,1,41.29625,39.34041667,9.768666667,26.96041667,321.4156667
4068,Little Tahoma,1,1,46.22875,29.61541667,19.002875,21.64041667,344.787375
788,Disappointment Cleaver,1,0,32.07875,66.61916667,33.07875,238.1875,201.78916669999998
3983,Disappointment Cleaver,1,1,31.21583333,45.76625,1.7863333330000002,29.30041667,364.5174167
2085,Emmons-Winthrop,1,0,52.78625,19.12333333,14.71504167,243.7625,327.84616669999997
4553,Disappointment Cleaver,1,1,35.50541667,55.14625,4.602791667,163.7657083,40.73991667
4206,Liberty RIngraham Directge,1,1,38.94666667,50.58708333,5.9370833329999995,153.6,359.3387917
1547,Disappointment Cleaver,1,0,51.37583333,46.14041667,6.6737083329999995,171.633375,208.6705
509,Disappointment Cleaver,1,1,35.25291667,48.96291667,3.89525,235.4966667,248.5455
4374,Emmons-Winthrop,1,0,40.17125,36.86833333,9.813375,247.1904167,352.442875
2540,Disappointment Cleaver,1,1,43.04166667,55.07208333,6.003458332999999,198.60375,334.0260417
3968,Disappointment Cleaver,1,1,31.21583333,45.76625,1.7863333330000002,29.30041667,364.5174167
548,Disappointment Cleaver,1,0,35.25291667,48.96291667,3.89525,235.4966667,248.5455
4182,Emmons-Winthrop,1,1,53.21166667,30.91625,3.1011666669999998,217.22883330000002,355.6503333
2560,Disappointment Cleaver,1,0,43.04166667,55.07208333,6.003458332999999,198.60375,334.0260417
1027,Disappointment Cleaver,1,1,44.68791667,26.80133333,24.80958333,17.51666667,281.0450417
2129,Disappointment Cleaver,1,0,52.78625,19.12333333,14.71504167,243.7625,327.84616669999997
4731,Disappointment Cleaver,1,0,29.47333333,91.06,6.361583333,79.80166667,21.76520833
796,Disappointment Cleaver,1,0,32.07875,66.61916667,33.07875,238.1875,201.78916669999998
4721,Disappointment Cleaver,1,1,29.47333333,91.06,6.361583333,79.80166667,21.76520833
1622,Disappointment Cleaver,1,1,39.15708333,71.17625,24.91166667,260.21666669999996,182.5133333
3297,Liberty RIngraham Directge,1,0,55.05083333,49.77,8.242,243.3878333,184.279375
1494,Disappointment Cleaver,1,1,49.99208333,30.82541667,24.7425,271.9333333,276.0485
867,Disappointment Cleaver,1,0,36.16208333,91.36375,64.10625,40.25666667,53.22416667
5181,Disappointment Cleaver,1,0,10.855,90.76958333,17.00741667,203.18333330000002,0.0
4123,Kautz Glacier,1,0,48.62875,20.28375,9.727375,55.14583333,362.4339167
2122,Disappointment Cleaver,1,1,52.78625,19.12333333,14.71504167,243.7625,327.84616669999997
3670,Disappointment Cleaver,1,0,35.0875,40.37208333,2.47725,149.27625,358.7460833
1815,Disappointment Cleaver,1,1,42.45083333,43.5075,4.640541667,20.59791667,308.749
625,Disappointment Cleaver,1,0,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
599,Disappointment Cleaver,1,0,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
3137,Emmons-Winthrop,1,0,48.49208333,50.48333333,2.755416667,183.66875,328.7606667
3911,Disappointment Cleaver,1,0,35.51375,64.3275,7.011958333,29.11708333,343.898
3199,Emmons-Winthrop,1,1,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
4764,Disappointment Cleaver,1,1,31.28083333,55.86166667,3.632791667,148.240375,28.800125
1153,Disappointment Cleaver,1,1,43.20875,14.29633333,19.14175,19.62958333,293.7495
1382,Disappointment Cleaver,1,1,41.11791667,44.51291667,1.663208333,210.48,294.587625
3583,Emmons-Winthrop,1,1,31.41125,80.40458333,13.34379167,242.9666667,240.7595833
1922,Disappointment Cleaver,1,0,40.76375,30.05708333,4.1517916669999995,30.62458333,315.5002917
442,Disappointment Cleaver,1,0,52.30416667,18.9025,12.39225,278.9,234.3315833
2553,Disappointment Cleaver,1,0,43.04166667,55.07208333,6.003458332999999,198.60375,334.0260417
4517,Disappointment Cleaver,1,1,32.7775,49.44625,2.176375,217.676125,30.99041667
527,Disappointment Cleaver,1,0,35.25291667,48.96291667,3.89525,235.4966667,248.5455
1304,Disappointment Cleaver,1,1,46.55333333,30.25375,6.036208332999999,252.915,295.18425
4525,Disappointment Cleaver,1,1,32.7775,49.44625,2.176375,217.676125,30.99041667
2358,Disappointment Cleaver,1,1,38.75666667,43.62791667,5.683125,18.71875,301.8440417
3254,Disappointment Cleaver,1,1,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
3867,Disappointment Cleaver,1,1,35.51375,64.3275,7.011958333,29.11708333,343.898
1996,Kautz Glacier,1,1,41.29625,39.34041667,9.768666667,26.96041667,321.4156667
3408,Disappointment Cleaver,1,0,54.57583333,40.18583333,18.14608333,278.59166669999996,245.01154169999998
1245,Disappointment Cleaver,1,1,51.18958333,24.26166667,2.924458333,185.8279167,291.3016667
940,Disappointment Cleaver,1,1,42.415,26.72666667,24.9475,19.63125,275.21133330000004
3025,Disappointment Cleaver,1,1,55.1375,20.55941667,0.753458333,90.53458333,357.3411667
1053,Emmons-Winthrop,1,0,44.36916667,18.2605,4.4974166669999995,55.20091667,281.860625
3567,Disappointment Cleaver,1,1,38.03375,43.06458333,5.631583332999999,148.7572917,351.3125
1667,Emmons-Winthrop,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
1720,Kautz Glacier,1,0,37.08375,48.48666667,30.84,264.2958333,170.5599167
2546,Disappointment Cleaver,1,1,43.04166667,55.07208333,6.003458332999999,198.60375,334.0260417
2008,Disappointment Cleaver,1,0,41.29625,39.34041667,9.768666667,26.96041667,321.4156667
2844,Disappointment Cleaver,1,1,45.18541667,55.22875,16.93216667,22.45291667,349.9249583
325,Disappointment Cleaver,1,1,23.02125,60.216125,11.10675,13.96916667,90.693
4092,Disappointment Cleaver,1,1,48.69,13.59708333,4.309125,22.21325,363.666625
5403,Disappointment Cleaver,1,0,33.31875,60.20041667,7.140916667000001,116.29458329999999,227.597125
934,Disappointment Cleaver,1,0,41.95083333,54.23375,35.89916667,22.13458333,234.041625
1249,Disappointment Cleaver,1,0,51.18958333,24.26166667,2.924458333,185.8279167,291.3016667
4959,Emmons-Winthrop,1,0,31.01416667,72.705,3.497208333,212.65795830000002,37.42945833
777,Disappointment Cleaver,1,0,32.07875,66.61916667,33.07875,238.1875,201.78916669999998
4267,Disappointment Cleaver,1,1,29.01333333,85.95333333,2.220333333,227.6720833,284.8479167
3222,Disappointment Cleaver,1,1,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
2532,Disappointment Cleaver,1,1,43.04166667,55.07208333,6.003458332999999,198.60375,334.0260417
113,Disappointment Cleaver,1,0,36.09958333,60.97875,51.61083333,265.4166667,180.315875
994,Disappointment Cleaver,1,1,43.36666667,22.565875,22.82541667,17.94333333,236.7139583
2073,Emmons-Winthrop,1,1,56.15375,16.52041667,4.563958333,25.00291667,323.836125
4208,Fuhrers Finger,1,0,38.94666667,50.58708333,5.9370833329999995,153.6,359.3387917
1288,Disappointment Cleaver,1,0,49.47041667,39.9375,4.31375,244.5733333,290.5622917
4707,Disappointment Cleaver,1,0,31.2,75.00458333,11.31595833,83.57208333,0.129958333
336,Disappointment Cleaver,1,1,23.02125,60.216125,11.10675,13.96916667,90.693
18,Disappointment Cleaver,1,0,31.82291667,62.33708333,13.12504167,153.9316667,196.3752083
4693,Disappointment Cleaver,1,1,31.2,75.00458333,11.31595833,83.57208333,0.129958333
4863,Disappointment Cleaver,1,1,25.05958333,97.11666667,4.398875,98.80383333,0.0
2321,Disappointment Cleaver,1,0,39.98208333,68.69458333,19.50670833,24.84125,309.638125
3332,Disappointment Cleaver,1,0,55.05083333,49.77,8.242,243.3878333,184.279375
2516,Disappointment Cleaver,1,0,49.7325,49.06958333,3.9822916669999997,226.1925,328.9838333
790,Disappointment Cleaver,1,0,32.07875,66.61916667,33.07875,238.1875,201.78916669999998
3684,glacier only - no summit attempt,1,0,31.90166667,65.75875,9.339041667,177.5125,329.4286667
3592,Emmons-Winthrop,1,0,31.41125,80.40458333,13.34379167,242.9666667,240.7595833
5429,Disappointment Cleaver,1,0,28.23833333,100.0,0.897625,259.6458333,114.40083329999999
2074,Emmons-Winthrop,1,1,56.15375,16.52041667,4.563958333,25.00291667,323.836125
1470,Disappointment Cleaver,1,0,40.04916667,77.10333333,14.9015,245.56375,170.0025833
5256,Fuhrer's Finger,1,1,29.34916667,26.28670833,4.898791667,181.6716667,10.899125
4582,Disappointment Cleaver,1,0,35.50541667,55.14625,4.602791667,163.7657083,40.73991667
3934,Kautz Glacier,1,1,32.69458333,70.2725,2.7260000000000004,30.691,362.93758330000003
1703,Disappointment Cleaver,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
4189,Liberty RIngraham Directge,1,1,47.80666667,19.34166667,3.136458333,265.0845833,353.86870830000004
3258,Disappointment Cleaver,1,1,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
743,Disappointment Cleaver,1,0,22.40041667,91.62541667,23.27375,188.12083330000002,233.4845833
3720,Disappointment Cleaver,1,1,31.90166667,65.75875,9.339041667,177.5125,329.4286667
3135,Emmons-Winthrop,1,1,48.49208333,50.48333333,2.755416667,183.66875,328.7606667
963,Disappointment Cleaver,1,0,42.415,26.72666667,24.9475,19.63125,275.21133330000004
3360,Kautz Glacier,1,1,54.57583333,40.18583333,18.14608333,278.59166669999996,245.01154169999998
1276,Disappointment Cleaver,1,1,49.47041667,39.9375,4.31375,244.5733333,290.5622917
1974,Disappointment Cleaver,1,0,37.44,38.43166667,7.56075,17.995,304.6057083
4251,Disappointment Cleaver,1,0,34.46166667,62.99416667,4.006708333,164.18625,363.1519583
1918,Disappointment Cleaver,1,0,40.76375,30.05708333,4.1517916669999995,30.62458333,315.5002917
3259,Disappointment Cleaver,1,1,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
4473,Disappointment Cleaver,1,0,34.4575,73.66541667,4.211208333,194.5708333,351.78479169999997
5206,Ingraham Direct,1,0,20.37458333,98.55,36.7425,277.775,0.0
1901,Disappointment Cleaver,1,1,40.76375,30.05708333,4.1517916669999995,30.62458333,315.5002917
2255,Disappointment Cleaver,1,1,27.265,80.21208333,5.009375,198.077125,205.9569583
5477,Disappointment Cleaver,1,0,32.85733333,100.0,65.11066667,254.27333330000002,16.5938
2854,Disappointment Cleaver,1,1,45.18541667,55.22875,16.93216667,22.45291667,349.9249583
3734,glacier only - no summit attempt,1,0,33.13291667,74.27791667,29.12291667,112.52875,244.1792917
2509,Disappointment Cleaver,1,1,49.7325,49.06958333,3.9822916669999997,226.1925,328.9838333
1679,Emmons-Winthrop,1,0,37.08375,48.48666667,30.84,264.2958333,170.5599167
2876,Disappointment Cleaver,1,0,45.18541667,55.22875,16.93216667,22.45291667,349.9249583
1675,Emmons-Winthrop,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
3866,Disappointment Cleaver,1,1,35.51375,64.3275,7.011958333,29.11708333,343.898
1610,Emmons-Winthrop,1,1,39.15708333,71.17625,24.91166667,260.21666669999996,182.5133333
1917,Disappointment Cleaver,1,0,40.76375,30.05708333,4.1517916669999995,30.62458333,315.5002917
4425,Curtis RIngraham Directge,1,0,36.655,71.65125,24.68633333,274.7666667,245.2959167
4481,Disappointment Cleaver,1,0,34.4575,73.66541667,4.211208333,194.5708333,351.78479169999997
1925,Emmons-Winthrop,1,0,37.44,38.43166667,7.56075,17.995,304.6057083
5423,Disappointment Cleaver,1,0,28.23833333,100.0,0.897625,259.6458333,114.40083329999999
3974,Disappointment Cleaver,1,1,31.21583333,45.76625,1.7863333330000002,29.30041667,364.5174167
4380,Kautz Glacier,1,1,40.17125,36.86833333,9.813375,247.1904167,352.442875
3495,Disappointment Cleaver,1,0,49.23875,37.54708333,5.079166667,143.1625,353.6944583
1801,Disappointment Cleaver,1,1,42.45083333,43.5075,4.640541667,20.59791667,308.749
364,Disappointment Cleaver,1,0,42.59166667,17.42758333,14.43820833,20.535,207.5935
2435,Disappointment Cleaver,1,0,41.5075,23.71291667,23.71208333,163.2116667,318.05425
803,Disappointment Cleaver,1,0,32.31,100.0,25.74,234.5,0.0
2782,Emmons-Winthrop,1,1,47.46291667,65.34833333,5.416041667000001,43.80920833,284.4880417
1682,Disappointment Cleaver,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
4792,Disappointment Cleaver,1,1,31.08541667,45.71958333,1.597666667,267.87125,42.54783333
1359,Emmons-Winthrop,1,1,46.55333333,30.25375,6.036208332999999,252.915,295.18425
5264,Gibralter Ledges,1,1,21.1575,18.090999999999998,18.71625,115.95833329999999,0.0
878,Disappointment Cleaver,1,0,36.16208333,91.36375,64.10625,40.25666667,53.22416667
5317,Ingraham Direct,1,1,27.86,23.49420833,4.405791667,232.66575,0.0
2291,Emmons-Winthrop,1,0,29.43291667,97.86916667,33.001875,211.21083330000002,182.8830833
3416,Ptarmigan RIngraham Directge,1,0,53.75416667,35.88125,13.615125,276.0791667,353.99733330000004
1287,Disappointment Cleaver,1,0,49.47041667,39.9375,4.31375,244.5733333,290.5622917
3530,Emmons-Winthrop,1,1,38.03375,43.06458333,5.631583332999999,148.7572917,351.3125
2710,Disappointment Cleaver,1,1,40.66333333,69.77416667,21.65779167,273.03333330000004,231.46820830000001
4688,Disappointment Cleaver,1,0,32.22541667,78.09416667,16.36125,69.58875,27.30241667
2264,Disappointment Cleaver,1,0,27.265,80.21208333,5.009375,198.077125,205.9569583
321,Disappointment Cleaver,1,1,23.02125,60.216125,11.10675,13.96916667,90.693
4527,Disappointment Cleaver,1,1,32.7775,49.44625,2.176375,217.676125,30.99041667
2224,Emmons-Winthrop,1,1,33.30333333,52.5,7.444625,191.560875,278.7935833
670,Disappointment Cleaver,1,0,21.42833333,90.97875,5.825083332999999,173.56916669999998,141.671125
1328,Disappointment Cleaver,1,0,46.55333333,30.25375,6.036208332999999,252.915,295.18425
3672,Disappointment Cleaver,1,0,35.0875,40.37208333,2.47725,149.27625,358.7460833
4300,Kautz Glacier,1,1,25.92333333,96.78333333,8.679666667000001,263.1208333,272.3627917
2101,Disappointment Cleaver,1,1,52.78625,19.12333333,14.71504167,243.7625,327.84616669999997
3447,Disappointment Cleaver,1,1,53.75416667,35.88125,13.615125,276.0791667,353.99733330000004
1589,Disappointment Cleaver,1,1,45.62583333,54.49666667,9.515125,194.9952083,181.97529169999999
